date,total_consumption_kg_nkp,consumption_m3_nkp,total_consumption_kg_khon,consumption_m3_khon,total_consumption_kg_combined,total_consumption_m3_combined
2026-05-31,2995.4900000000016,2261.594950000001,67.5,50.9625,3062.9900000000016,2312.557450000001
2026-06-01,2904.720000000001,2193.063600000001,67.5,50.9625,2972.220000000001,2244.026100000001
2026-06-02,3267.8099999999977,2467.1965499999983,45.0,33.975,3312.8099999999977,2501.171549999998
2026-06-03,3267.8100000000013,2467.196550000001,22.5,16.9875,3290.3100000000013,2484.184050000001
2026-06-04,3358.58,2535.7279,22.5,16.9875,3381.08,2552.7154
2026-06-05,3177.040000000001,2398.665200000001,22.5,16.9875,3199.540000000001,2415.652700000001
2026-06-06,3086.2699999999986,2330.133849999999,22.5,16.9875,3108.7699999999986,2347.121349999999
2026-06-07,2904.720000000001,2193.063600000001,22.5,16.9875,2927.220000000001,2210.051100000001
2026-06-08,2995.4900000000016,2261.594950000001,45.0,33.975,3040.4900000000016,2295.569950000001
2026-06-09,3086.2599999999984,2330.126299999999,67.5,50.9625,3153.7599999999984,2381.088799999999
2026-06-10,3177.040000000001,2398.665200000001,45.0,33.975,3222.040000000001,2432.6402000000007
2026-06-11,3358.58,2535.7279,45.0,33.975,3403.58,2569.7028999999998
2026-06-12,3449.3599999999988,2604.266799999999,45.0,33.975,3494.3599999999988,2638.241799999999
2026-06-13,2723.170000000002,2055.9933500000016,45.0,33.975,2768.170000000002,2089.9683500000015
2026-06-14,3267.8100000000013,2467.196550000001,45.0,33.975,3312.8100000000013,2501.171550000001
2026-06-15,3358.579999999998,2535.7278999999985,22.5,16.9875,3381.079999999998,2552.7153999999987
2026-06-16,3540.130000000001,2672.798150000001,45.0,33.975,3585.130000000001,2706.773150000001
2026-06-17,3449.3500000000004,2604.25925,45.0,33.975,3494.3500000000004,2638.23425
2026-06-18,3267.8199999999997,2467.2041,67.5,50.9625,3335.3199999999997,2518.1666
2026-06-19,3086.2599999999984,2330.126299999999,67.5,50.9625,3153.7599999999984,2381.088799999999
2026-06-20,3267.8100000000013,2467.196550000001,45.0,33.975,3312.8100000000013,2501.171550000001
2026-06-21,3449.3599999999988,2604.266799999999,45.0,33.975,3494.3599999999988,2638.241799999999
2026-06-22,3358.58,2535.7279,67.5,50.9625,3426.08,2586.6904
2026-06-23,2995.4900000000016,2261.594950000001,90.0,67.95,3085.4900000000016,2329.544950000001
2026-06-24,3267.8100000000013,2467.196550000001,45.0,33.975,3312.8100000000013,2501.171550000001
2026-06-25,3267.8100000000013,2467.196550000001,67.5,50.9625,3335.3100000000013,2518.159050000001
2026-06-26,3267.8099999999977,2467.1965499999983,45.0,33.975,3312.8099999999977,2501.171549999998
2026-06-27,3177.040000000001,2398.665200000001,45.0,33.975,3222.040000000001,2432.6402000000007
2026-06-28,35855.14,27070.6307,45.0,33.975,35900.14,27104.6057
2026-06-29,3086.26,2330.1263000000004,67.5,50.9625,3153.76,2381.0888000000004
2026-06-30,2904.7200000000003,2193.0636000000004,90.0,67.95,2994.7200000000003,2261.0136
2026-07-01,3086.2599999999984,2330.126299999999,67.5,50.9625,3153.7599999999984,2381.088799999999
2026-07-02,3358.59,2535.73545,67.5,50.9625,3426.09,2586.69795
2026-07-03,3358.58,2535.7279,67.5,50.9625,3426.08,2586.6904
2026-07-04,3267.8100000000013,2467.196550000001,45.0,33.975,3312.8100000000013,2501.171550000001
2026-07-05,3267.8099999999995,2467.1965499999997,67.5,50.9625,3335.3099999999995,2518.1590499999998
2026-07-06,3267.8100000000013,2467.196550000001,67.5,50.9625,3335.3100000000013,2518.159050000001
2026-07-07,3449.359999999997,2604.2667999999976,45.0,33.975,3494.359999999997,2638.2417999999975
2026-07-08,3540.130000000001,2672.798150000001,22.5,16.9875,3562.630000000001,2689.785650000001
2026-07-09,3449.3500000000004,2604.25925,67.5,50.9625,3516.8500000000004,2655.22175
2026-07-10,3630.8999999999996,2741.3295,45.0,33.975,3675.8999999999996,2775.3044999999997
2026-07-11,3177.040000000001,2398.665200000001,45.0,33.975,3222.040000000001,2432.6402000000007
2026-07-12,3358.5800000000017,2535.7279000000012,45.0,33.975,3403.5800000000017,2569.702900000001
2026-07-13,3267.8099999999977,2467.1965499999983,22.5,16.9875,3290.3099999999977,2484.1840499999985
2026-07-14,3267.8100000000013,2467.196550000001,45.0,33.975,3312.8100000000013,2501.171550000001
2026-07-15,3358.58,2535.7279,45.0,33.975,3403.58,2569.7028999999998
2026-07-16,3540.130000000001,2672.798150000001,67.5,50.9625,3607.630000000001,2723.760650000001
2026-07-17,3540.129999999999,2672.7981499999996,90.0,67.95,3630.129999999999,2740.7481499999994
2026-07-18,2632.4000000000015,1987.4620000000011,67.5,50.9625,2699.9000000000015,2038.4245000000012
2026-07-19,3267.8100000000013,2467.196550000001,67.5,50.9625,3335.3100000000013,2518.159050000001
2026-07-20,3449.359999999997,2604.2667999999976,90.0,67.95,3539.359999999997,2672.2167999999974
2026-07-21,3540.1200000000026,2672.790600000002,90.0,67.95,3630.1200000000026,2740.740600000002
2026-07-22,3630.8999999999996,2741.3295,6277.5,4739.5125,9908.4,7480.842
2026-07-23,3449.3599999999988,2604.266799999999,112.5,84.9375,3561.8599999999988,2689.204299999999
2026-07-24,3358.579999999998,2535.7278999999985,112.5,84.9375,3471.079999999998,2620.6653999999985
2026-07-25,3267.8100000000013,2467.196550000001,101.25,76.44375,3369.0600000000013,2543.640300000001
2026-07-26,3177.039999999999,2398.6651999999995,112.5,84.9375,3289.539999999999,2483.6026999999995
2026-07-27,3358.58,2535.7279,67.5,50.9625,3426.08,2586.6904
